GT_plane,Matched_solution_plane,score
Plane_11.ts,group_10.ts,0.993151
Plane_5.ts,group_1.ts,0.472795
Plane_4.ts,group_12.ts,0.992473
Plane_15.ts,group_8.ts,0.997465
Plane_1.ts,group_6.ts,0.991409
Plane_14.ts,group_2.ts,0.150703
Plane_6.ts,group_9.ts,0.98555
Plane_2.ts,group_11.ts,8.15907e-10
Plane_13.ts,group_4.ts,0.766965
Plane_3.ts,group_7.ts,0.995055
Plane_10.ts,group_5.ts,0.989656
Plane_9.ts,group_3.ts,0.971379
Plane_8.ts,group_26.ts,5.41721e-32
Plane_12.ts,group_0.ts,0.0733935
Plane_7.ts,group_15.ts,0.998673
OVERALL_SCORE: 0.802946
